stop_id,stop_name,stop_lat,stop_lon,location_type
740000212,Reftele station,57.175798,13.593414,
740000213,Oskarshamn station,57.263262,16.457499,
740000214,Sala station,59.924962,16.605446,
740000215,Mullsjö station,57.914800,13.881707,
740000216,Mariestad station,58.712105,13.824497,
740000217,Grums station,59.352988,13.113765,
740000218,Hofors station,60.569571,16.266361,
740000219,Hällnäs station,64.305641,19.625939,
740000220,Kramfors station,62.929116,17.778179,
740000221,Arvika station,59.653592,12.591148,
740000222,Kristinehamn station,59.316501,14.108292,
740000223,Gullspång busstation,58.986007,14.098895,
740000225,Tofta station,57.173489,12.300403,
740000226,Åkers styckebruk,59.253157,17.095146,
740000227,Skeppshult station,57.126464,13.360256,
740000228,Krokom station,63.325990,14.448414,
740000229,Riksgränsen station,68.425726,18.127419,
740000230,Karlskrona Centralstation,56.166672,15.585368,
740000231,Habo station,57.906605,14.076784,
740000232,Vaggeryd station,57.498332,14.145133,
740000233,Tanum station,58.713712,11.295262,
740000234,Sennan station,56.771824,12.980033,
740000235,Lessebo station,56.749536,15.259041,
740000238,Rävlanda station,57.654589,12.500421,
740000239,Vindeln Resecentrum/Station,64.202882,19.712688,
740000241,Vänersborg Centralstation,58.377638,12.317816,
740000242,Timrå station,62.486397,17.330548,
740000243,Bollebygd station,57.667230,12.568771,
740000244,Storvik station,60.582156,16.534529,
740000245,Ljung station,57.986612,13.053178,
740000246,Rydöbruk station,56.959368,13.136306,
740000248,Nyåker Affären,63.766996,19.309498,
740000249,Oxelösund centrum,58.669573,17.105556,
740000250,Växjö station,56.876780,14.806788,
740000252,Hok station,57.514183,14.275049,
740000253,Härnösand station,62.635184,17.928637,
740000254,Gällivare C/Resecentrum,67.133537,20.651307,
740000255,Haverdal Haverdalsvägen,56.726809,12.665994,
740000256,Karlsborg busstation,58.530709,14.509636,
740000257,Falkenberg bussterminal,56.902165,12.488206,
740000258,Markaryd station,56.458889,13.593365,
740000260,Eslöv station,55.837716,13.305488,
740000261,Harplinge station,56.744398,12.724785,
740000262,Arboga station,59.397107,15.841060,
740000263,Mellansel station,63.428423,18.307722,
740000265,Nattavaara station,66.754651,20.948678,
740000266,Fagersta Centralstation,59.990464,15.815703,
740000267,Gullbrandstorp,56.704254,12.732562,
740000268,Murjek station,66.484137,20.880715,
740000269,Getinge centrum,56.819167,12.733227,
740000270,Karlholm Karlitplan,60.520210,17.629005,
740000271,Derome station,57.230410,12.319787,
740000272,Sandared station,57.709614,12.792488,
740000273,Valbo Ikea,60.633476,16.988560,
740000274,Torsby station,60.136565,13.002503,
740000275,Nyland ICA,63.006044,17.760367,
740000276,Mariefred busstation,59.263866,17.230485,
740000277,Ockelbo station,60.891310,16.721028,
740000279,Ellös busstation,58.182917,11.466561,
740000280,Kopparberg station,59.872713,14.986853,
740000282,Jörn station,65.054425,20.030386,
740000283,Ed station,58.913390,11.932941,
740000284,Kungsängen station,59.477882,17.752498,
740000285,Anneberg station,57.539264,12.101243,
740000286,Assberg station,57.494833,12.669701,
740000287,Väse station,59.381611,13.853491,
740000288,Flen station,59.057299,16.588914,
740000289,Smålandsstenar station,57.161601,13.415005,
740000290,Tyringe station,56.159792,13.598202,
740000291,Ludvika station,60.149829,15.182648,
740000292,Grebbestad busstation,58.691876,11.253983,
740000293,Frövi station,59.467645,15.363782,
740000294,Bastuträsk station,64.790006,20.041179,
740000295,Osby station,56.379949,13.994255,
740000296,Fjällbacka,58.599656,11.285666,
740000297,Fiskebäckskil,58.243415,11.458564,
740000298,Brastad centrum,58.382070,11.484805,
740000300,Borås Centralstation,57.720838,12.932004,
740000301,Tierp station,60.345326,17.514373,
740000302,Mora station,61.009054,14.560044,
740000303,Djurås station,60.560178,15.138593,
740000306,Ammarnäs,65.957511,16.210913,
740000307,Åmotfors station,59.768950,12.366328,
740000308,Duved station,63.389761,12.917673,
740000309,Bjurholm busstation,63.931992,19.216237,
740000310,Boliden busstation,64.867819,20.383988,
740000311,Malmbäck station,57.577881,14.460440,
740000312,Torup Station,56.957575,13.079869,
740000313,Oskarström station,56.806491,12.971952,
740000314,Skene station,57.488188,12.648615,
740000315,Mölndal station,57.655958,12.018723,
740000316,Borgafjäll,64.835164,15.085058,
740000317,Bureå torg,64.617984,21.200086,
740000318,Burträsk busstation,64.521083,20.661338,
740000319,Hemavan köpcentrum E12,65.820131,15.083719,
740000320,Svenshögen station,58.144869,11.935714,
740000321,Kolbäck station,59.563836,16.232473,
740000322,Gagnef station,60.598796,15.081377,
740000323,Tomelilla station,55.546552,13.948940,
740000324,Gällö station,62.911122,15.229454,
740000325,Ljungaverk station,62.495647,16.067602,
740000326,Kaitum station,67.543804,20.108030,
740000328,Ärla station,59.283043,16.675983,
740000329,Holmsund Himmelska Fridens Tg,63.707787,20.364038,
740000330,Skärhamn torg,57.991227,11.546386,
740000331,Delsbo torg,61.799572,16.554094,
740000333,Jämjö centrum,56.191968,15.835047,
740000335,Kållered station,57.609928,12.048619,
740000336,Broby busstation,56.253663,14.075195,
740000338,Åtvidaberg station,58.203692,16.002327,
740000339,Berghem station,57.466981,12.598370,
740000340,Åhus Järnvägsgatan,55.927022,14.302791,
740000342,Rydaholm station,56.986255,14.311448,
740000343,Brösarp bussterminal,55.727804,14.096774,
740000344,Kisa station,57.985383,15.633807,
740000345,Kilafors station,61.230969,16.570442,
740000346,Degeberga Skaddevägen,55.837503,14.090143,
740000347,Storfors station,59.533169,14.271408,
740000348,Hultsfred station,57.486758,15.846745,
740000349,Jörlanda,57.987146,11.830248,
740000350,Hofors centrum,60.545035,16.286494,
740000351,Vimmerby station,57.663155,15.858267,
740000353,Fritsla station,57.557845,12.789917,
740000354,Bergfors station,68.148676,19.781074,
740000355,Smögen busstation,58.357215,11.230457,
740000356,Kungshamn busstation,58.361451,11.249360,
740000357,Hunnebostrand,58.439796,11.304491,
740000358,Grundsund,58.213187,11.421946,
740000359,Ottebol station,59.696104,12.469770,
740000360,Lycksele Resecentrum/Station,64.595360,18.667983,
740000361,Örebro Södra station,59.269986,15.202329,
740000362,Åseda station,57.167830,15.347094,
740000363,Veddige station,57.266939,12.337596,
740000364,Årjäng Busstation,59.394407,12.131374,
740000365,Rimforsa station,58.135548,15.681699,
740000366,Mörrum station,56.186732,14.744670,
740000367,Malung centrum,60.683797,13.710869,
740000368,Bräkne-Hoby station,56.230881,15.115697,
740000370,Bovallstrand,58.474037,11.327221,
740000371,Hassela busstation,62.110203,16.706543,
740000372,Haparanda station,65.828368,24.131895,
740000373,Tibro busstation,58.425291,14.160837,
740000374,Kittelfjäll,65.249429,15.490241,
740000375,Forshaga Centrum,59.532738,13.480348,
740000376,Hagfors Busstationen,60.035460,13.693683,
740000377,Kåge C,64.832234,20.990055,
740000378,Fränsta station,62.496142,16.167502,
740000379,Aneby station,57.836233,14.810819,
740000380,Stöde station,62.419717,16.598610,
740000381,Munkfors Busstationen,59.834233,13.545919,
740000383,Barkarby station,59.404569,17.866054,
740000384,Surahammar station,59.706626,16.219685,
740000385,Tingsryd busstation,56.523998,14.975528,
740000386,Vedum station,58.169318,12.998537,
740000387,Malå busstation,65.183880,18.746650,
740000388,Gemla station,56.870071,14.644831,
740000389,Norsjö busstation,64.914478,19.484689,
740000390,Obbola centralhållplats,63.701541,20.319007,
740000391,Robertsfors busstation,64.192305,20.847335,
740000392,Storvreta station,59.956065,17.706074,
740000394,Tärnaby busstation,65.710692,15.252423,
740000395,Åsele busstation,64.161655,17.350861,
740000397,Svedala station,55.506869,13.232409,
740000399,Alnö Vi centrum,62.428017,17.416210,
740000400,Bjästa busstation,63.201666,18.501448,
740000401,Bredbyn busstn,63.449124,18.107170,
740000402,Horred station,57.353343,12.477269,
740000403,Husum torget,63.329128,19.163454,
740000404,Gamleby station,57.896955,16.410234,
740000405,Mariannelund station,57.616408,15.585077,
740000406,Vansbro centrum,60.512026,14.226879,
740000407,Matfors Åkerstavägen,62.344252,17.018710,
740000408,Sveg station,62.035309,14.352101,
740000409,Kvissleby Njurundahallen,62.295511,17.379169,
740000410,Edane station,59.626830,12.829365,
740000411,Ramsele busstation,63.537084,16.469677,
740000413,Ramvik,62.818879,17.854651,
740000414,Fjällåsen station,67.518417,20.093421,
740000415,Rydsgård station,55.474233,13.587492,
740000417,Söråker köpcenter,62.506414,17.506645,
740000418,Högboda station,59.557620,13.051481,
740000419,Hällefors station,59.782636,14.518613,
740000420,Föllinge,63.670126,14.612783,
740000421,Strömsund busstation,63.849937,15.554987,
740000422,Gäddede Saga,64.504772,14.147123,
740000423,Hammarstrand busstation,63.108162,16.356163,
740000424,Björbo station,60.453459,14.729221,
740000425,Hammerdal busstation,63.582820,15.350216,
740000426,Fagerås station,59.519397,13.219949,
740000427,Hällekis station,58.630010,13.432555,
740000428,Storuman station,65.096996,17.112391,
740000429,Höglekardalen,63.078393,13.749215,
740000431,Garphyttan Kvarnvägen,59.308044,14.940555,
740000432,Vittsjö station,56.342113,13.663263,
740000433,Lysvik station,60.016033,13.137747,
740000434,Hoting station,64.115814,16.201975,
740000436,Klimpfjäll,65.061950,14.800050,
